date,sku_id,units_sold,revenue,unit_price,promo_flag,units_sold_was_missing,category,subcategory,launch_date,unit_cost,list_price,week,month,season,is_holiday,promo_event
2025-04-03,SKU0001,15.0,116181.6,7745.44,0,0,Furniture,Shelving,2025-04-03,3462.67,7745.44,14,4,Summer,0,
2025-04-04,SKU0001,15.0,116181.6,7745.44,0,0,Furniture,Shelving,2025-04-03,3462.67,7745.44,14,4,Summer,0,
2025-04-05,SKU0001,28.0,216872.32,7745.44,0,0,Furniture,Shelving,2025-04-03,3462.67,7745.44,14,4,Summer,0,
2025-04-06,SKU0001,33.0,255599.52,7745.44,0,0,Furniture,Shelving,2025-04-03,3462.67,7745.44,14,4,Summer,0,
2025-04-07,SKU0001,15.0,116181.6,7745.44,0,0,Furniture,Shelving,2025-04-03,3462.67,7745.44,15,4,Summer,0,
2025-04-08,SKU0001,15.0,116181.6,7745.44,0,0,Furniture,Shelving,2025-04-03,3462.67,7745.44,15,4,Summer,0,
2025-04-09,SKU0001,20.0,154908.8,7745.44,0,0,Furniture,Shelving,2025-04-03,3462.67,7745.44,15,4,Summer,0,
2025-04-10,SKU0001,16.0,123927.04,7745.44,0,0,Furniture,Shelving,2025-04-03,3462.67,7745.44,15,4,Summer,0,
2025-04-11,SKU0001,25.0,193636.0,7745.44,0,0,Furniture,Shelving,2025-04-03,3462.67,7745.44,15,4,Summer,0,
2025-04-12,SKU0001,7.0,54218.08,7745.44,0,0,Furniture,Shelving,2025-04-03,3462.67,7745.44,15,4,Summer,0,
2025-04-13,SKU0001,17.0,131672.48,7745.44,0,0,Furniture,Shelving,2025-04-03,3462.67,7745.44,15,4,Summer,0,
2025-04-14,SKU0001,13.0,100690.72,7745.44,0,0,Furniture,Shelving,2025-04-03,3462.67,7745.44,16,4,Summer,0,
2025-04-15,SKU0001,2.0,15490.88,7745.44,0,0,Furniture,Shelving,2025-04-03,3462.67,7745.44,16,4,Summer,0,
2025-04-16,SKU0001,11.0,85199.84,7745.44,0,0,Furniture,Shelving,2025-04-03,3462.67,7745.44,16,4,Summer,0,
2025-04-17,SKU0001,12.0,92945.28,7745.44,0,0,Furniture,Shelving,2025-04-03,3462.67,7745.44,16,4,Summer,0,
2025-04-18,SKU0001,17.0,131672.48,7745.44,0,0,Furniture,Shelving,2025-04-03,3462.67,7745.44,16,4,Summer,0,
2025-04-19,SKU0001,30.0,232363.2,7745.44,0,0,Furniture,Shelving,2025-04-03,3462.67,7745.44,16,4,Summer,0,
2025-04-20,SKU0001,21.0,162654.24,7745.44,0,0,Furniture,Shelving,2025-04-03,3462.67,7745.44,16,4,Summer,0,
2025-04-21,SKU0001,11.0,85199.84,7745.44,0,0,Furniture,Shelving,2025-04-03,3462.67,7745.44,17,4,Summer,0,
2025-04-22,SKU0001,18.0,139417.92,7745.44,0,0,Furniture,Shelving,2025-04-03,3462.67,7745.44,17,4,Summer,0,
2025-04-23,SKU0001,25.0,193636.0,7745.44,0,0,Furniture,Shelving,2025-04-03,3462.67,7745.44,17,4,Summer,0,
2025-04-24,SKU0001,11.0,85199.84,7745.44,0,0,Furniture,Shelving,2025-04-03,3462.67,7745.44,17,4,Summer,0,
2025-04-25,SKU0001,12.0,92945.28,7745.44,0,0,Furniture,Shelving,2025-04-03,3462.67,7745.44,17,4,Summer,0,
2025-04-26,SKU0001,27.0,209126.88,7745.44,0,0,Furniture,Shelving,2025-04-03,3462.67,7745.44,17,4,Summer,0,
2025-04-27,SKU0001,21.0,162654.24,7745.44,0,0,Furniture,Shelving,2025-04-03,3462.67,7745.44,17,4,Summer,0,
2025-04-28,SKU0001,23.0,178145.12,7745.44,0,0,Furniture,Shelving,2025-04-03,3462.67,7745.44,18,4,Summer,0,
2025-04-29,SKU0001,18.0,139417.92,7745.44,0,0,Furniture,Shelving,2025-04-03,3462.67,7745.44,18,4,Summer,0,
2025-04-30,SKU0001,23.0,178145.12,7745.44,0,0,Furniture,Shelving,2025-04-03,3462.67,7745.44,18,4,Summer,0,
2025-05-01,SKU0001,11.0,85199.84,7745.44,0,0,Furniture,Shelving,2025-04-03,3462.67,7745.44,18,5,Summer,0,
2025-05-02,SKU0001,18.0,139417.92,7745.44,0,0,Furniture,Shelving,2025-04-03,3462.67,7745.44,18,5,Summer,0,
2025-05-03,SKU0001,21.0,162654.24,7745.44,0,0,Furniture,Shelving,2025-04-03,3462.67,7745.44,18,5,Summer,0,
2025-05-04,SKU0001,14.0,108436.16,7745.44,0,0,Furniture,Shelving,2025-04-03,3462.67,7745.44,18,5,Summer,0,
2025-05-05,SKU0001,7.0,54218.08,7745.44,0,0,Furniture,Shelving,2025-04-03,3462.67,7745.44,19,5,Summer,0,
2025-05-06,SKU0001,23.0,178145.12,7745.44,0,0,Furniture,Shelving,2025-04-03,3462.67,7745.44,19,5,Summer,0,
2025-05-07,SKU0001,16.0,123927.04,7745.44,0,0,Furniture,Shelving,2025-04-03,3462.67,7745.44,19,5,Summer,0,
2025-05-08,SKU0001,11.0,85199.84,7745.44,0,0,Furniture,Shelving,2025-04-03,3462.67,7745.44,19,5,Summer,0,
2025-05-09,SKU0001,17.0,131672.48,7745.44,0,0,Furniture,Shelving,2025-04-03,3462.67,7745.44,19,5,Summer,0,
2025-05-10,SKU0001,31.0,240108.64,7745.44,0,0,Furniture,Shelving,2025-04-03,3462.67,7745.44,19,5,Summer,0,
2025-05-11,SKU0001,7.0,54218.08,7745.44,0,0,Furniture,Shelving,2025-04-03,3462.67,7745.44,19,5,Summer,0,
2025-05-12,SKU0001,8.0,61963.52,7745.44,0,0,Furniture,Shelving,2025-04-03,3462.67,7745.44,20,5,Summer,0,
2025-05-13,SKU0001,12.0,92945.28,7745.44,0,0,Furniture,Shelving,2025-04-03,3462.67,7745.44,20,5,Summer,0,
2025-05-14,SKU0001,28.0,216872.32,7745.44,0,0,Furniture,Shelving,2025-04-03,3462.67,7745.44,20,5,Summer,0,
2025-05-15,SKU0001,20.0,154908.8,7745.44,0,0,Furniture,Shelving,2025-04-03,3462.67,7745.44,20,5,Summer,0,
2025-05-16,SKU0001,24.0,185890.56,7745.44,0,0,Furniture,Shelving,2025-04-03,3462.67,7745.44,20,5,Summer,0,
2025-05-17,SKU0001,15.0,116181.6,7745.44,0,0,Furniture,Shelving,2025-04-03,3462.67,7745.44,20,5,Summer,0,
2025-05-18,SKU0001,15.0,116181.6,7745.44,0,0,Furniture,Shelving,2025-04-03,3462.67,7745.44,20,5,Summer,0,
2025-05-19,SKU0001,21.0,162654.24,7745.44,0,0,Furniture,Shelving,2025-04-03,3462.67,7745.44,21,5,Summer,0,
2025-05-20,SKU0001,19.0,147163.36,7745.44,0,0,Furniture,Shelving,2025-04-03,3462.67,7745.44,21,5,Summer,0,
2025-05-21,SKU0001,22.0,170399.68,7745.44,0,0,Furniture,Shelving,2025-04-03,3462.67,7745.44,21,5,Summer,0,
2025-05-22,SKU0001,17.0,131672.48,7745.44,0,0,Furniture,Shelving,2025-04-03,3462.67,7745.44,21,5,Summer,0,
2025-05-23,SKU0001,20.0,154908.8,7745.44,0,0,Furniture,Shelving,2025-04-03,3462.67,7745.44,21,5,Summer,0,
2025-05-24,SKU0001,24.0,185890.56,7745.44,0,0,Furniture,Shelving,2025-04-03,3462.67,7745.44,21,5,Summer,0,
2025-05-25,SKU0001,28.0,216872.32,7745.44,0,0,Furniture,Shelving,2025-04-03,3462.67,7745.44,21,5,Summer,0,
2025-05-26,SKU0001,24.0,185890.56,7745.44,0,0,Furniture,Shelving,2025-04-03,3462.67,7745.44,22,5,Summer,0,
2025-05-27,SKU0001,7.0,54218.08,7745.44,0,0,Furniture,Shelving,2025-04-03,3462.67,7745.44,22,5,Summer,0,
2025-05-28,SKU0001,2.0,15490.88,7745.44,0,0,Furniture,Shelving,2025-04-03,3462.67,7745.44,22,5,Summer,0,
2025-05-29,SKU0001,25.0,193636.0,7745.44,0,0,Furniture,Shelving,2025-04-03,3462.67,7745.44,22,5,Summer,0,
2025-05-30,SKU0001,26.0,201381.44,7745.44,0,0,Furniture,Shelving,2025-04-03,3462.67,7745.44,22,5,Summer,0,
2025-05-31,SKU0001,15.0,116181.6,7745.44,0,0,Furniture,Shelving,2025-04-03,3462.67,7745.44,22,5,Summer,0,
2025-06-01,SKU0001,10.0,77454.4,7745.44,0,0,Furniture,Shelving,2025-04-03,3462.67,7745.44,22,6,Summer,0,
2025-06-02,SKU0001,19.0,147163.36,7745.44,0,0,Furniture,Shelving,2025-04-03,3462.67,7745.44,23,6,Summer,0,
2025-06-03,SKU0001,25.0,193636.0,7745.44,0,0,Furniture,Shelving,2025-04-03,3462.67,7745.44,23,6,Summer,0,
2025-06-04,SKU0001,31.0,240108.64,7745.44,0,0,Furniture,Shelving,2025-04-03,3462.67,7745.44,23,6,Summer,0,
2025-06-05,SKU0001,22.0,170399.68,7745.44,0,0,Furniture,Shelving,2025-04-03,3462.67,7745.44,23,6,Summer,0,
2025-06-06,SKU0001,16.0,123927.04,7745.44,0,0,Furniture,Shelving,2025-04-03,3462.67,7745.44,23,6,Summer,0,
2025-06-07,SKU0001,16.0,123927.04,7745.44,0,0,Furniture,Shelving,2025-04-03,3462.67,7745.44,23,6,Summer,0,
2025-06-08,SKU0001,23.0,178145.12,7745.44,0,0,Furniture,Shelving,2025-04-03,3462.67,7745.44,23,6,Summer,0,
2025-06-09,SKU0001,16.0,123927.04,7745.44,0,0,Furniture,Shelving,2025-04-03,3462.67,7745.44,24,6,Summer,0,
2025-06-10,SKU0001,11.0,85199.84,7745.44,0,0,Furniture,Shelving,2025-04-03,3462.67,7745.44,24,6,Summer,0,
2025-06-11,SKU0001,33.0,255599.52,7745.44,0,0,Furniture,Shelving,2025-04-03,3462.67,7745.44,24,6,Summer,0,
2025-06-12,SKU0001,31.0,240108.64,7745.44,0,0,Furniture,Shelving,2025-04-03,3462.67,7745.44,24,6,Summer,0,
2025-06-13,SKU0001,26.0,201381.44,7745.44,0,0,Furniture,Shelving,2025-04-03,3462.67,7745.44,24,6,Summer,0,
2025-06-14,SKU0001,16.0,123927.04,7745.44,0,0,Furniture,Shelving,2025-04-03,3462.67,7745.44,24,6,Summer,0,
2025-06-15,SKU0001,29.0,224617.76,7745.44,0,0,Furniture,Shelving,2025-04-03,3462.67,7745.44,24,6,Summer,0,
2025-06-16,SKU0001,23.0,178145.12,7745.44,0,0,Furniture,Shelving,2025-04-03,3462.67,7745.44,25,6,Summer,0,
2025-06-17,SKU0001,21.0,162654.24,7745.44,0,0,Furniture,Shelving,2025-04-03,3462.67,7745.44,25,6,Summer,0,
2025-06-18,SKU0001,27.0,209126.88,7745.44,0,0,Furniture,Shelving,2025-04-03,3462.67,7745.44,25,6,Summer,0,
2025-06-19,SKU0001,23.0,178145.12,7745.44,0,0,Furniture,Shelving,2025-04-03,3462.67,7745.44,25,6,Summer,0,
2025-06-20,SKU0001,23.0,178145.12,7745.44,0,0,Furniture,Shelving,2025-04-03,3462.67,7745.44,25,6,Summer,0,
2025-06-21,SKU0001,27.0,209126.88,7745.44,0,0,Furniture,Shelving,2025-04-03,3462.67,7745.44,25,6,Summer,0,
2025-06-22,SKU0001,25.0,193636.0,7745.44,0,0,Furniture,Shelving,2025-04-03,3462.67,7745.44,25,6,Summer,0,
2025-06-23,SKU0001,6.0,46472.64,7745.44,0,0,Furniture,Shelving,2025-04-03,3462.67,7745.44,26,6,Summer,0,
2025-06-24,SKU0001,19.0,147163.36,7745.44,0,0,Furniture,Shelving,2025-04-03,3462.67,7745.44,26,6,Summer,0,
2025-06-25,SKU0001,14.0,108436.16,7745.44,0,0,Furniture,Shelving,2025-04-03,3462.67,7745.44,26,6,Summer,0,
2025-06-26,SKU0001,9.0,69708.96,7745.44,0,0,Furniture,Shelving,2025-04-03,3462.67,7745.44,26,6,Summer,0,
2025-06-27,SKU0001,30.0,232363.2,7745.44,0,0,Furniture,Shelving,2025-04-03,3462.67,7745.44,26,6,Summer,0,
2025-06-28,SKU0001,35.0,271090.4,7745.44,0,0,Furniture,Shelving,2025-04-03,3462.67,7745.44,26,6,Summer,0,
2025-06-29,SKU0001,32.0,247854.08,7745.44,0,0,Furniture,Shelving,2025-04-03,3462.67,7745.44,26,6,Summer,0,
2025-06-30,SKU0001,20.0,154908.8,7745.44,0,0,Furniture,Shelving,2025-04-03,3462.67,7745.44,27,6,Summer,0,
2025-07-01,SKU0001,27.0,209126.88,7745.44,0,0,Furniture,Shelving,2025-04-03,3462.67,7745.44,27,7,Monsoon,0,
2025-07-02,SKU0001,17.0,131672.48,7745.44,0,0,Furniture,Shelving,2025-04-03,3462.67,7745.44,27,7,Monsoon,0,
2025-07-03,SKU0001,19.0,147163.36,7745.44,0,0,Furniture,Shelving,2025-04-03,3462.67,7745.44,27,7,Monsoon,0,
2025-07-04,SKU0001,9.0,69708.96,7745.44,0,0,Furniture,Shelving,2025-04-03,3462.67,7745.44,27,7,Monsoon,0,
2025-07-05,SKU0001,24.0,185890.56,7745.44,0,0,Furniture,Shelving,2025-04-03,3462.67,7745.44,27,7,Monsoon,0,
2025-07-06,SKU0001,22.0,170399.68,7745.44,0,0,Furniture,Shelving,2025-04-03,3462.67,7745.44,27,7,Monsoon,0,
2025-07-07,SKU0001,8.0,61963.52,7745.44,0,0,Furniture,Shelving,2025-04-03,3462.67,7745.44,28,7,Monsoon,0,
2025-07-08,SKU0001,17.0,131672.48,7745.44,0,0,Furniture,Shelving,2025-04-03,3462.67,7745.44,28,7,Monsoon,0,
2025-07-09,SKU0001,17.0,131672.48,7745.44,0,0,Furniture,Shelving,2025-04-03,3462.67,7745.44,28,7,Monsoon,0,
2025-07-10,SKU0001,30.0,232363.2,7745.44,0,0,Furniture,Shelving,2025-04-03,3462.67,7745.44,28,7,Monsoon,0,
2025-07-11,SKU0001,23.0,178145.12,7745.44,0,0,Furniture,Shelving,2025-04-03,3462.67,7745.44,28,7,Monsoon,0,
2025-07-12,SKU0001,21.0,162654.24,7745.44,0,0,Furniture,Shelving,2025-04-03,3462.67,7745.44,28,7,Monsoon,0,
2025-07-13,SKU0001,23.0,178145.12,7745.44,0,0,Furniture,Shelving,2025-04-03,3462.67,7745.44,28,7,Monsoon,0,
2025-07-14,SKU0001,17.0,131672.48,7745.44,0,0,Furniture,Shelving,2025-04-03,3462.67,7745.44,29,7,Monsoon,0,
2025-07-15,SKU0001,16.0,123927.04,7745.44,0,0,Furniture,Shelving,2025-04-03,3462.67,7745.44,29,7,Monsoon,0,
2025-07-16,SKU0001,10.0,77454.4,7745.44,0,0,Furniture,Shelving,2025-04-03,3462.67,7745.44,29,7,Monsoon,0,
2025-07-17,SKU0001,16.0,123927.04,7745.44,0,0,Furniture,Shelving,2025-04-03,3462.67,7745.44,29,7,Monsoon,0,
2025-07-18,SKU0001,12.0,92945.28,7745.44,0,0,Furniture,Shelving,2025-04-03,3462.67,7745.44,29,7,Monsoon,0,
2025-07-19,SKU0001,13.0,100690.72,7745.44,0,0,Furniture,Shelving,2025-04-03,3462.67,7745.44,29,7,Monsoon,0,
2025-07-20,SKU0001,25.0,193636.0,7745.44,0,0,Furniture,Shelving,2025-04-03,3462.67,7745.44,29,7,Monsoon,0,
2025-07-21,SKU0001,20.0,154908.8,7745.44,0,0,Furniture,Shelving,2025-04-03,3462.67,7745.44,30,7,Monsoon,0,
2025-07-22,SKU0001,5.0,38727.2,7745.44,0,0,Furniture,Shelving,2025-04-03,3462.67,7745.44,30,7,Monsoon,0,
2025-07-23,SKU0001,16.0,123927.04,7745.44,0,0,Furniture,Shelving,2025-04-03,3462.67,7745.44,30,7,Monsoon,0,
2025-07-24,SKU0001,24.0,185890.56,7745.44,0,0,Furniture,Shelving,2025-04-03,3462.67,7745.44,30,7,Monsoon,0,
2025-07-25,SKU0001,25.0,193636.0,7745.44,0,0,Furniture,Shelving,2025-04-03,3462.67,7745.44,30,7,Monsoon,0,
