sku_id,category,week_start,horizon_week,forecast,forecast_low_80,forecast_high_80,on_hand_units,on_order_units,lead_time_days,reorder_point,unit_cost,avg_price
SKU0001,Furniture,2026-01-06,1,57.6,0.0,124.5,413,388,25.0,683,3462.67,7745.44
SKU0001,Furniture,2026-01-13,2,113.6,45.7,181.6,413,388,25.0,683,3462.67,7745.44
SKU0001,Furniture,2026-01-20,3,106.3,57.7,155.0,413,388,25.0,683,3462.67,7745.44
SKU0001,Furniture,2026-01-27,4,91.5,56.3,126.7,413,388,25.0,683,3462.67,7745.44
SKU0001,Furniture,2026-02-03,5,85.9,58.4,113.5,413,388,25.0,683,3462.67,7745.44
SKU0001,Furniture,2026-02-10,6,83.2,67.3,99.2,413,388,25.0,683,3462.67,7745.44
SKU0001,Furniture,2026-02-17,7,80.1,64.8,95.5,413,388,25.0,683,3462.67,7745.44
SKU0001,Furniture,2026-02-24,8,69.8,56.4,83.2,413,388,25.0,683,3462.67,7745.44
SKU0002,Small Appliances,2026-01-06,1,76.4,0.0,183.7,77,515,11.0,400,3907.36,9039.16
SKU0002,Small Appliances,2026-01-13,2,140.2,22.9,257.5,77,515,11.0,400,3907.36,9039.16
SKU0002,Small Appliances,2026-01-20,3,152.2,49.7,254.7,77,515,11.0,400,3907.36,9039.16
SKU0002,Small Appliances,2026-01-27,4,121.9,66.7,177.0,77,515,11.0,400,3907.36,9039.16
SKU0002,Small Appliances,2026-02-03,5,123.1,86.3,160.0,77,515,11.0,400,3907.36,9039.16
SKU0002,Small Appliances,2026-02-10,6,122.6,99.0,146.1,77,515,11.0,400,3907.36,9039.16
SKU0002,Small Appliances,2026-02-17,7,113.1,91.4,134.8,77,515,11.0,400,3907.36,9039.16
SKU0002,Small Appliances,2026-02-24,8,93.5,75.5,111.4,77,515,11.0,400,3907.36,9039.16
SKU0003,Bedding,2026-01-06,1,35.0,0.0,71.3,107,207,10.0,151,1911.47,3526.58
SKU0003,Bedding,2026-01-13,2,52.9,11.3,94.5,107,207,10.0,151,1911.47,3526.58
SKU0003,Bedding,2026-01-20,3,53.0,16.8,89.2,107,207,10.0,151,1911.47,3526.58
SKU0003,Bedding,2026-01-27,4,48.2,33.7,62.7,107,207,10.0,151,1911.47,3526.58
SKU0003,Bedding,2026-02-03,5,51.3,41.4,61.1,107,207,10.0,151,1911.47,3526.58
SKU0003,Bedding,2026-02-10,6,52.8,42.6,62.9,107,207,10.0,151,1911.47,3526.58
SKU0003,Bedding,2026-02-17,7,51.5,41.6,61.4,107,207,10.0,151,1911.47,3526.58
SKU0003,Bedding,2026-02-24,8,42.6,34.4,50.7,107,207,10.0,151,1911.47,3526.58
SKU0004,Furniture,2026-01-06,1,39.0,0.0,84.3,636,391,25.0,695,2646.69,6318.48
SKU0004,Furniture,2026-01-13,2,58.5,4.2,112.7,636,391,25.0,695,2646.69,6318.48
SKU0004,Furniture,2026-01-20,3,67.4,17.4,117.5,636,391,25.0,695,2646.69,6318.48
SKU0004,Furniture,2026-01-27,4,55.7,39.2,72.1,636,391,25.0,695,2646.69,6318.48
SKU0004,Furniture,2026-02-03,5,52.8,39.7,66.0,636,391,25.0,695,2646.69,6318.48
SKU0004,Furniture,2026-02-10,6,56.1,45.3,66.8,636,391,25.0,695,2646.69,6318.48
SKU0004,Furniture,2026-02-17,7,57.1,46.2,68.1,636,391,25.0,695,2646.69,6318.48
SKU0004,Furniture,2026-02-24,8,44.5,36.0,53.0,636,391,25.0,695,2646.69,6318.48
SKU0005,Small Appliances,2026-01-06,1,75.6,0.0,214.7,197,741,12.0,621,2307.42,3407.09
SKU0005,Small Appliances,2026-01-13,2,184.3,19.7,348.9,197,741,12.0,621,2307.42,3407.09
SKU0005,Small Appliances,2026-01-20,3,204.0,52.7,355.4,197,741,12.0,621,2307.42,3407.09
SKU0005,Small Appliances,2026-01-27,4,182.8,111.2,254.4,197,741,12.0,621,2307.42,3407.09
SKU0005,Small Appliances,2026-02-03,5,162.3,97.8,226.9,197,741,12.0,621,2307.42,3407.09
SKU0005,Small Appliances,2026-02-10,6,158.6,128.2,189.1,197,741,12.0,621,2307.42,3407.09
SKU0005,Small Appliances,2026-02-17,7,149.6,120.9,178.3,197,741,12.0,621,2307.42,3407.09
SKU0005,Small Appliances,2026-02-24,8,123.3,99.6,147.0,197,741,12.0,621,2307.42,3407.09
SKU0006,Decor,2026-01-06,1,71.5,0.0,166.6,886,840,20.0,1055,2600.32,6005.97
SKU0006,Decor,2026-01-13,2,134.7,35.0,234.5,886,840,20.0,1055,2600.32,6005.97
SKU0006,Decor,2026-01-20,3,154.6,74.6,234.6,886,840,20.0,1055,2600.32,6005.97
SKU0006,Decor,2026-01-27,4,119.8,66.4,173.2,886,840,20.0,1055,2600.32,6005.97
SKU0006,Decor,2026-02-03,5,113.9,74.6,153.2,886,840,20.0,1055,2600.32,6005.97
SKU0006,Decor,2026-02-10,6,114.6,92.6,136.6,886,840,20.0,1055,2600.32,6005.97
SKU0006,Decor,2026-02-17,7,103.6,82.1,125.2,886,840,20.0,1055,2600.32,6005.97
SKU0006,Decor,2026-02-24,8,90.5,73.1,107.9,886,840,20.0,1055,2600.32,6005.97
SKU0007,Bedding,2026-01-06,1,6.7,0.0,15.9,60,45,26.0,75,3593.86,8388.29
SKU0007,Bedding,2026-01-13,2,8.7,0.0,18.7,60,45,26.0,75,3593.86,8388.29
SKU0007,Bedding,2026-01-20,3,9.9,2.0,17.9,60,45,26.0,75,3593.86,8388.29
SKU0007,Bedding,2026-01-27,4,9.6,5.7,13.5,60,45,26.0,75,3593.86,8388.29
SKU0007,Bedding,2026-02-03,5,9.8,7.9,11.7,60,45,26.0,75,3593.86,8388.29
SKU0007,Bedding,2026-02-10,6,13.1,10.6,15.6,60,45,26.0,75,3593.86,8388.29
SKU0007,Bedding,2026-02-17,7,15.2,12.3,18.1,60,45,26.0,75,3593.86,8388.29
SKU0007,Bedding,2026-02-24,8,10.2,7.2,13.2,60,45,26.0,75,3593.86,8388.29
SKU0008,Kitchen,2026-01-06,1,72.8,0.0,190.0,0,294,18.0,280,1973.54,2866.69
SKU0008,Kitchen,2026-01-13,2,128.9,28.5,229.4,0,294,18.0,280,1973.54,2866.69
SKU0008,Kitchen,2026-01-20,3,142.6,58.9,226.2,0,294,18.0,280,1973.54,2866.69
SKU0008,Kitchen,2026-01-27,4,108.1,49.1,167.1,0,294,18.0,280,1973.54,2866.69
SKU0008,Kitchen,2026-02-03,5,108.5,74.8,142.1,0,294,18.0,280,1973.54,2866.69
SKU0008,Kitchen,2026-02-10,6,105.0,84.8,125.1,0,294,18.0,280,1973.54,2866.69
SKU0008,Kitchen,2026-02-17,7,94.9,75.2,114.6,0,294,18.0,280,1973.54,2866.69
SKU0008,Kitchen,2026-02-24,8,82.6,66.8,98.5,0,294,18.0,280,1973.54,2866.69
SKU0009,Small Appliances,2026-01-06,1,90.1,0.0,206.5,0,748,28.0,692,3030.1,7760.12
SKU0009,Small Appliances,2026-01-13,2,202.6,57.1,348.2,0,748,28.0,692,3030.1,7760.12
SKU0009,Small Appliances,2026-01-20,3,217.2,107.1,327.3,0,748,28.0,692,3030.1,7760.12
SKU0009,Small Appliances,2026-01-27,4,182.7,111.5,253.9,0,748,28.0,692,3030.1,7760.12
SKU0009,Small Appliances,2026-02-03,5,161.3,97.9,224.7,0,748,28.0,692,3030.1,7760.12
SKU0009,Small Appliances,2026-02-10,6,162.7,131.5,194.0,0,748,28.0,692,3030.1,7760.12
SKU0009,Small Appliances,2026-02-17,7,144.5,115.6,173.4,0,748,28.0,692,3030.1,7760.12
SKU0009,Small Appliances,2026-02-24,8,126.0,101.8,150.2,0,748,28.0,692,3030.1,7760.12
SKU0010,Bedding,2026-01-06,1,59.9,0.0,170.5,467,584,14.0,623,1607.75,3156.76
SKU0010,Bedding,2026-01-13,2,169.4,24.8,313.9,467,584,14.0,623,1607.75,3156.76
SKU0010,Bedding,2026-01-20,3,175.1,70.0,280.2,467,584,14.0,623,1607.75,3156.76
SKU0010,Bedding,2026-01-27,4,160.2,96.4,224.0,467,584,14.0,623,1607.75,3156.76
SKU0010,Bedding,2026-02-03,5,128.9,68.5,189.3,467,584,14.0,623,1607.75,3156.76
SKU0010,Bedding,2026-02-10,6,137.6,111.2,164.1,467,584,14.0,623,1607.75,3156.76
SKU0010,Bedding,2026-02-17,7,125.6,101.5,149.7,467,584,14.0,623,1607.75,3156.76
SKU0010,Bedding,2026-02-24,8,105.9,85.6,126.2,467,584,14.0,623,1607.75,3156.76
SKU0011,Bedding,2026-01-06,1,29.8,0.0,65.8,65,165,14.0,181,2007.68,3357.43
SKU0011,Bedding,2026-01-13,2,39.5,2.2,76.7,65,165,14.0,181,2007.68,3357.43
SKU0011,Bedding,2026-01-20,3,40.6,10.4,70.8,65,165,14.0,181,2007.68,3357.43
SKU0011,Bedding,2026-01-27,4,38.5,24.9,52.1,65,165,14.0,181,2007.68,3357.43
SKU0011,Bedding,2026-02-03,5,38.2,30.9,45.6,65,165,14.0,181,2007.68,3357.43
SKU0011,Bedding,2026-02-10,6,35.9,29.0,42.8,65,165,14.0,181,2007.68,3357.43
SKU0011,Bedding,2026-02-17,7,33.9,27.4,40.4,65,165,14.0,181,2007.68,3357.43
SKU0011,Bedding,2026-02-24,8,25.8,20.8,30.7,65,165,14.0,181,2007.68,3357.43
SKU0012,Furniture,2026-01-06,1,82.1,0.0,232.7,366,746,21.0,924,1861.18,4465.37
SKU0012,Furniture,2026-01-13,2,225.6,66.3,384.9,366,746,21.0,924,1861.18,4465.37
SKU0012,Furniture,2026-01-20,3,222.6,71.9,373.3,366,746,21.0,924,1861.18,4465.37
SKU0012,Furniture,2026-01-27,4,192.1,106.5,277.6,366,746,21.0,924,1861.18,4465.37
SKU0012,Furniture,2026-02-03,5,183.5,108.8,258.3,366,746,21.0,924,1861.18,4465.37
SKU0012,Furniture,2026-02-10,6,165.4,133.7,197.2,366,746,21.0,924,1861.18,4465.37
SKU0012,Furniture,2026-02-17,7,161.6,130.6,192.6,366,746,21.0,924,1861.18,4465.37
SKU0012,Furniture,2026-02-24,8,138.3,111.8,164.9,366,746,21.0,924,1861.18,4465.37
SKU0013,Bedding,2026-01-06,1,45.5,0.0,96.4,27,190,7.0,110,3362.59,7954.94
SKU0013,Bedding,2026-01-13,2,82.4,22.6,142.1,27,190,7.0,110,3362.59,7954.94
SKU0013,Bedding,2026-01-20,3,82.2,34.2,130.2,27,190,7.0,110,3362.59,7954.94
SKU0013,Bedding,2026-01-27,4,67.6,42.2,93.0,27,190,7.0,110,3362.59,7954.94
SKU0013,Bedding,2026-02-03,5,67.9,48.6,87.2,27,190,7.0,110,3362.59,7954.94
SKU0013,Bedding,2026-02-10,6,67.6,54.6,80.6,27,190,7.0,110,3362.59,7954.94
