date,sku_id,on_hand_units,on_order_units,lead_time_days,reorder_point
2024-01-01,SKU0001,915,0,25.0,683
2024-01-08,SKU0001,758,0,25.0,683
2024-01-15,SKU0001,601,394,25.0,683
2024-01-22,SKU0001,444,394,25.0,683
2024-01-29,SKU0001,287,775,25.0,683
2024-02-05,SKU0001,130,775,25.0,683
2024-02-12,SKU0001,367,381,25.0,683
2024-02-19,SKU0001,210,807,25.0,683
2024-02-26,SKU0001,435,426,25.0,683
2024-03-04,SKU0001,278,426,25.0,683
2024-03-11,SKU0001,121,807,25.0,683
2024-03-18,SKU0001,390,381,25.0,683
2024-03-25,SKU0001,233,784,25.0,683
2024-04-01,SKU0001,457,403,25.0,683
2024-04-08,SKU0001,300,403,25.0,683
2024-04-15,SKU0001,144,784,25.0,683
2024-04-22,SKU0001,390,381,25.0,683
2024-04-29,SKU0001,233,762,25.0,683
2024-05-06,SKU0001,457,381,25.0,683
2024-05-13,SKU0001,300,762,25.0,683
2024-05-20,SKU0001,143,762,25.0,683
2024-05-27,SKU0001,367,381,25.0,683
2024-06-03,SKU0001,210,762,25.0,683
2024-06-10,SKU0001,435,381,25.0,683
2024-06-17,SKU0001,278,762,25.0,683
2024-06-24,SKU0001,502,381,25.0,683
2024-07-01,SKU0001,345,381,25.0,683
2024-07-08,SKU0001,188,762,25.0,683
2024-07-15,SKU0001,412,381,25.0,683
2024-07-22,SKU0001,255,784,25.0,683
2024-07-29,SKU0001,479,403,25.0,683
2024-08-05,SKU0001,323,403,25.0,683
2024-08-12,SKU0001,166,784,25.0,683
2024-08-19,SKU0001,412,381,25.0,683
2024-08-26,SKU0001,255,762,25.0,683
2024-09-02,SKU0001,479,381,25.0,683
2024-09-09,SKU0001,322,381,25.0,683
2024-09-16,SKU0001,165,762,25.0,683
2024-09-23,SKU0001,389,381,25.0,683
2024-09-30,SKU0001,233,785,25.0,683
2024-10-07,SKU0001,457,404,25.0,683
2024-10-14,SKU0001,300,404,25.0,683
2024-10-21,SKU0001,143,785,25.0,683
2024-10-28,SKU0001,390,381,25.0,683
2024-11-04,SKU0001,233,762,25.0,683
2024-11-11,SKU0001,457,381,25.0,683
2024-11-18,SKU0001,300,381,25.0,683
2024-11-25,SKU0001,144,806,25.0,683
2024-12-02,SKU0001,368,425,25.0,683
2024-12-09,SKU0001,211,806,25.0,683
2024-12-16,SKU0001,479,381,25.0,683
2024-12-23,SKU0001,322,381,25.0,683
2024-12-30,SKU0001,165,785,25.0,683
2025-01-06,SKU0001,389,404,25.0,683
2025-01-13,SKU0001,233,807,25.0,683
2025-01-20,SKU0001,480,403,25.0,683
2025-01-27,SKU0001,323,403,25.0,683
2025-02-03,SKU0001,166,784,25.0,683
2025-02-10,SKU0001,412,381,25.0,683
2025-02-17,SKU0001,255,762,25.0,683
2025-02-24,SKU0001,479,381,25.0,683
2025-03-03,SKU0001,322,381,25.0,683
2025-03-10,SKU0001,166,762,25.0,683
2025-03-17,SKU0001,390,381,25.0,683
2025-03-24,SKU0001,233,762,25.0,683
2025-03-31,SKU0001,457,381,25.0,683
2025-04-07,SKU0001,306,381,25.0,683
2025-04-14,SKU0001,193,771,25.0,683
2025-04-21,SKU0001,470,390,25.0,683
2025-04-28,SKU0001,333,390,25.0,683
2025-05-05,SKU0001,611,380,25.0,683
2025-05-12,SKU0001,498,380,25.0,683
2025-05-19,SKU0001,363,380,25.0,683
2025-05-26,SKU0001,589,421,25.0,683
2025-06-02,SKU0001,485,421,25.0,683
2025-06-09,SKU0001,336,421,25.0,683
2025-06-16,SKU0001,167,801,25.0,683
2025-06-23,SKU0001,436,380,25.0,683
