sku_id,category,total_horizon_demand,avg_weekly_demand,on_hand_units,on_order_units,lead_time_days,reorder_point,unit_cost,avg_price,lead_time_weeks,demand_over_lead_time,available_stock,stockout_risk,overstock_risk,stockout_value_at_risk,overstock_capital_locked,rupee_value_at_stake,risk_quadrant,recommended_action
SKU0038,Furniture,4.8,0.6,525,0,18.0,415,3715.46,7792.34,2.5714285714285716,1.542857142857143,525,0.0,1.0,0.0,1932782.0,1932782.0,Markdown / Clear,Promote or discount to free up capital.
SKU0111,Bedding,23.1,2.8875,457,0,25.0,360,3814.54,5882.69,3.5714285714285716,10.312500000000002,457,0.0,1.0,0.0,1655129.0,1655129.0,Markdown / Clear,Promote or discount to free up capital.
SKU0145,Bedding,23.9,2.9875,862,0,22.0,616,1394.91,3354.56,3.142857142857143,9.389285714285714,862,0.0,1.0,0.0,1169074.0,1169074.0,Markdown / Clear,Promote or discount to free up capital.
SKU0152,Kitchen,544.0,68.0,1,0,18.0,121,2813.13,6319.66,2.5714285714285716,174.85714285714286,1,0.9952342047930284,0.0,1099771.0,0.0,1099771.0,Reorder Now,Raise a replenishment order before stock runs out.
SKU0143,Small Appliances,825.7,103.2125,39,155,20.0,189,2148.41,4907.07,2.857142857142857,294.89285714285717,194,0.4517782891284163,0.0,653750.0,0.0,653750.0,Healthy,No action needed; leave as is.
SKU0004,Furniture,431.1,53.8875,636,391,25.0,695,2646.69,6318.48,3.5714285714285716,192.45535714285717,1027,0.0,0.31686383669682205,0.0,542307.0,542307.0,Healthy,No action needed; leave as is.
SKU0094,Small Appliances,1405.4,175.675,0,314,14.0,298,2224.34,4803.46,2.0,351.35,314,0.25525354584697124,0.0,430790.0,0.0,430790.0,Healthy,No action needed; leave as is.
SKU0051,Small Appliances,916.5,114.5625,0,164,11.0,134,2001.84,9808.49,1.5714285714285714,180.02678571428572,164,0.2408537089388154,0.0,425297.0,0.0,425297.0,Healthy,No action needed; leave as is.
SKU0024,Small Appliances,1136.6,142.075,69,246,16.0,262,3293.28,5270.46,2.2857142857142856,324.7428571428571,315,0.19166813302832997,0.0,328048.0,0.0,328048.0,Healthy,No action needed; leave as is.
SKU0091,Bedding,557.5,69.6875,0,206,23.0,154,2805.82,4927.73,3.2857142857142856,228.97321428571428,206,0.2502762071878858,0.0,282391.0,0.0,282391.0,Healthy,No action needed; leave as is.
