sku_id,category,subcategory,launch_date,unit_cost,list_price
SKU0001,Furniture,Shelving,2025-04-03,3462.67,7745.44
SKU0002,Small Appliances,Kettles,2024-03-06,3907.36,9039.16
SKU0003,Bedding,Comforters,2024-12-25,1911.47,3526.58
SKU0004,Furniture,Chairs,2025-10-10,2646.69,6318.48
SKU0005,Small Appliances,Blenders,2024-11-11,2307.42,3407.09
SKU0006,Decor,Vases,2025-08-02,2600.32,6005.97
SKU0007,Bedding,Pillows,2024-02-17,3593.86,8388.29
SKU0008,Kitchen,Cutlery,2024-05-16,1973.54,2866.69
SKU0009,Small Appliances,Kettles,2025-06-04,3030.1,7760.12
SKU0010,Bedding,Pillows,2024-08-16,1607.75,3156.76
SKU0011,Bedding,Sheets,2024-11-20,2007.68,3357.43
SKU0012,Furniture,Sofas,2025-04-13,1861.18,4465.37
SKU0013,Bedding,Comforters,2024-03-09,3362.59,7954.94
SKU0014,Decor,Vases,2024-09-28,1295.65,2875.04
SKU0015,Bedding,Sheets,2025-08-05,227.98,534.46
SKU0016,Furniture,Shelving,2025-04-10,2879.63,6729.33
SKU0017,Small Appliances,Blenders,2024-12-19,731.23,1124.22
SKU0018,Small Appliances,Blenders,2025-04-12,1990.17,4136.14
SKU0019,Furniture,Shelving,2025-02-06,2303.6,4770.87
SKU0020,Bedding,Comforters,2024-07-31,317.11,610.14
SKU0021,Kitchen,Cookware,2024-07-12,3442.93,5786.63
SKU0022,Small Appliances,Fans,2024-02-10,1269.26,2224.14
SKU0023,Small Appliances,Heaters,2024-03-29,3178.81,6984.41
SKU0024,Small Appliances,Blenders,2024-10-11,3293.28,5270.46
SKU0025,Decor,Wall Art,2024-03-15,2944.97,5755.22
SKU0026,Furniture,Sofas,2024-04-22,2103.97,3330.11
SKU0027,Small Appliances,Heaters,2024-12-12,1647.88,2903.26
SKU0028,Small Appliances,Heaters,2025-03-17,1574.89,2370.49
SKU0029,Decor,Wall Art,2024-08-25,3652.61,8180.56
SKU0030,Kitchen,Storage,2024-07-05,3882.87,9064.56
SKU0031,Decor,Lighting,2025-07-06,1234.52,1871.12
SKU0032,Small Appliances,Blenders,2025-09-23,1931.95,3173.88
SKU0033,Bedding,Sheets,2025-07-20,871.74,2116.53
SKU0034,Small Appliances,Kettles,2025-06-14,2933.96,5628.84
SKU0035,Decor,Lighting,2024-04-08,2669.42,4007.69
SKU0036,Small Appliances,Fans,2024-10-18,358.13,713.68
SKU0037,Furniture,Tables,2025-04-07,592.93,1248.22
SKU0038,Furniture,Shelving,2024-04-29,3715.46,7792.34
SKU0039,Small Appliances,Blenders,2025-03-04,286.65,731.04
SKU0040,Small Appliances,Blenders,2024-12-03,3174.39,4759.29
SKU0041,Decor,Rugs,2025-04-14,3763.74,7851.44
SKU0042,Small Appliances,Heaters,2024-11-27,1214.51,2183.55
SKU0043,Small Appliances,Heaters,2025-08-17,282.13,674.73
SKU0044,Small Appliances,Kettles,2025-09-19,732.95,1513.43
SKU0045,Decor,Wall Art,2025-04-11,1268.69,2780.09
SKU0046,Bedding,Comforters,2025-05-23,3120.86,4772.7
SKU0047,Bedding,Comforters,2025-11-13,342.17,706.86
SKU0048,DECOR,Lighting,2024-09-16,3353.2,7946.75
SKU0049,Kitchen,Cookware,2024-05-21,1305.49,2634.57
SKU0050,Kitchen,Cutlery,2024-06-28,3756.97,6001.87
SKU0051,Small Appliances,Kettles,2024-07-28,,9808.49
SKU0052,Small Appliances,Kettles,2025-06-08,3585.01,8862.63
SKU0053,Furniture,Sofas,2024-11-24,3133.65,6875.21
SKU0054,Decor,Rugs,2024-09-18,558.97,1283.48
SKU0055,Decor,Rugs,2024-01-04,1115.69,1726.32
SKU0056,Kitchen,Cookware,2025-08-04,782.48,1263.8
SKU0057,Decor,Lighting,2025-05-18,946.45,1677.48
SKU0058,Kitchen,Cutlery,2025-06-28,3892.94,7789.34
SKU0059,Small Appliances,Kettles,2025-10-16,1072.69,1671.45
SKU0060,furniture ,Chairs,2025-04-19,662.96,1330.96
SKU0061,Kitchen,Cutlery,2025-06-20,959.15,2268.34
SKU0062,Small Appliances,Kettles,2025-05-15,3008.14,4684.48
SKU0063,Small Appliances,Kettles,2025-02-01,1710.8,3012.96
SKU0064,kitchen,Cookware,2024-12-08,2718.88,6924.3
SKU0065,Small Appliances,Blenders,2025-11-03,294.47,608.45
SKU0066,Kitchen,Cookware,2025-03-19,602.41,944.82
SKU0067,Bedding,Pillows,2024-01-05,2464.96,6210.78
SKU0068,Kitchen,Cutlery,2025-07-17,1976.05,4627.35
SKU0069,Kitchen,Cookware,2025-04-09,3351.83,7897.52
SKU0070,Furniture,Tables,2024-06-11,2216.92,4715.87
SKU0071,Kitchen,Cutlery,2025-06-11,1767.77,3268.64
SKU0072,Bedding,Comforters,2024-10-25,2677.34,6535.36
SKU0073,Decor,Rugs,2025-01-06,1099.32,2523.18
SKU0074,Decor,Vases,2025-07-25,600.06,888.01
SKU0075,Small Appliances,Heaters,2024-09-07,3333.72,5908.69
SKU0076,Furniture,Shelving,2024-04-10,3699.69,5914.47
SKU0077,Furniture,Tables,2025-02-08,638.86,910.62
SKU0078,Furniture,Sofas,2024-02-08,863.64,1264.42
SKU0079,Small Appliances,Heaters,2024-12-27,1695.8,3021.22
SKU0080,Bedding,Comforters,2024-12-19,3525.02,8535.34
SKU0081,Small Appliances,Kettles,2024-12-11,1099.63,1868.56
SKU0082,Furniture,Sofas,2025-02-03,1781.8,2599.83
SKU0083,Furniture,Tables,2025-10-10,586.35,1407.33
SKU0084,Small Appliances,Kettles,2024-02-06,3714.4,5641.94
SKU0085,Kitchen,Cutlery,2025-07-14,3922.37,9266.33
SKU0086,Kitchen,Storage,2025-06-29,2641.44,6167.22
SKU0087,Bedding,Sheets,2025-08-01,2154.05,5232.37
SKU0088,Small Appliances,Fans,2024-11-19,1663.34,3605.25
SKU0089,Decor,Rugs,2024-02-12,2015.93,3830.81
SKU0090,Furniture,Sofas,2024-06-11,1596.54,2937.11
SKU0091,Bedding,Sheets,2024-10-30,2805.82,4927.73
SKU0092,Decor,Vases,2025-10-26,3682.12,7279.89
SKU0093,Bedding,Sheets,2024-11-18,3424.53,7476.11
SKU0094,Small Appliances,Kettles,2025-07-17,2224.34,4803.46
SKU0095,Furniture,Tables,2024-05-03,969.14,2164.82
SKU0096,Bedding,Pillows,2025-08-25,701.99,1500.33
SKU0097,Bedding,Sheets,2025-03-11,521.07,1314.73
SKU0098,Bedding,Comforters,2024-04-06,3843.74,9075.3
SKU0099,Small Appliances,Heaters,2024-11-07,3221.44,8167.1
SKU0100,Bedding,Sheets,2024-06-26,2442.29,3697.77
SKU0101,Small Appliances,Heaters,2024-04-27,2346.81,4897.6
SKU0102,Furniture,Tables,2024-11-22,2186.0,5064.32
SKU0103,Kitchen,Cutlery,2024-12-28,2478.46,6239.48
SKU0104,Small Appliances,Fans,2024-03-24,644.99,970.87
SKU0105,Small Appliances,Heaters,2025-05-25,3142.42,6930.54
SKU0106,Small Appliances,Heaters,2024-08-21,3613.79,8366.06
SKU0107,Bedding,Sheets,2025-07-10,1394.87,2216.64
SKU0108,Decor,Vases,2024-04-13,3757.28,7234.59
SKU0109,Bedding,Pillows,2024-03-30,2301.37,5807.2
SKU0110,Bedding,Pillows,2025-06-30,2021.6,3743.26
SKU0111,Bedding,Comforters,2024-01-04,3814.54,5882.69
SKU0112,Bedding,Sheets,2025-08-18,2620.88,4052.68
SKU0113,Small Appliances,Heaters,2024-01-23,,479.97
SKU0114,Bedding,Comforters,2025-07-31,1322.36,2578.94
SKU0115,Decor,Rugs,2024-01-09,3690.08,8625.76
SKU0116,Decor,Lighting,2024-03-18,3988.73,9792.49
SKU0117,Bedding,Sheets,2025-06-28,604.39,1570.76
SKU0118,Kitchen,Cookware,2025-04-10,2670.48,4028.5
SKU0119,Bedding,Comforters,2025-08-27,,1752.6
SKU0120,Furniture,Shelving,2025-06-27,953.18,2376.05
SKU0121,Decor,Lighting,2025-09-28,220.63,322.56
SKU0122,Furniture,Shelving,2025-02-28,3245.63,5472.99
SKU0123,Decor,Vases,2024-06-20,3243.66,8152.47
SKU0124,Furniture,Chairs,2025-06-24,2852.86,6862.77
SKU0125,Small Appliances,Kettles,2024-11-15,674.71,1353.09
SKU0126,Decor,Lighting,2025-06-05,2594.05,6281.12
SKU0127,Small Appliances,Kettles,2025-07-23,933.56,1610.31
SKU0128,Bedding,Sheets,2025-05-11,3924.78,8374.9
SKU0129,Small Appliances,Kettles,2024-02-19,360.93,888.24
SKU0130,Bedding,Pillows,2025-05-11,857.89,1295.47
SKU0131,Bedding,Sheets,2024-09-20,1942.53,4547.26
SKU0132,Kitchen,Cookware,2025-03-21,2375.17,3738.89
SKU0133,Decor,Vases,2025-01-13,2396.47,5367.45
SKU0134,Decor,Rugs,2025-03-30,3774.26,5956.26
SKU0135,Small Appliances,Heaters,2025-04-28,2001.84,3088.96
SKU0136,Small Appliances,Fans,2024-04-03,1256.69,2218.87
SKU0137,Bedding,Pillows,2025-07-03,2611.59,4946.8
SKU0138,Bedding,Sheets,2024-10-13,1026.99,2162.81
SKU0139,Bedding,Sheets,2025-10-06,1789.92,3524.28
SKU0140,Furniture,Chairs,2024-06-06,2375.34,4938.16
SKU0141,Small Appliances,Heaters,2025-01-17,2679.25,4767.61
SKU0142,Bedding,Sheets,2025-07-05,2286.75,4385.3
SKU0143,Small Appliances,Heaters,2025-01-03,2148.41,4907.07
SKU0144,Decor,Lighting,2025-09-12,3700.02,7416.17
SKU0145,Bedding,Pillows,2024-07-07,1394.91,3354.56
SKU0146,Bedding,Pillows,2024-12-11,640.26,951.73
SKU0147,Kitchen,Cutlery,2025-07-29,1266.32,2280.59
SKU0148,Furniture,Tables,2024-05-01,1392.79,3191.2
