sku_id,week_start,units_sold,revenue,avg_price,promo_days,holiday_days,category,subcategory,unit_cost,week_of_year,month,is_promo_week,is_holiday_week,lag_1,lag_2,lag_4,lag_8,roll_mean_4,roll_mean_8,roll_std_4,seasonal_naive,on_hand_units,on_order_units,lead_time_days,reorder_point
SKU0055,2024-01-02,312.0,430889.47,1381.06,5,0,Decor,Rugs,1115.69,1,1,1,0,,,,,,,,,493,311,25.0,517
SKU0111,2024-01-02,172.0,809458.15,4706.15,5,0,Bedding,Comforters,3814.54,1,1,1,0,,,,,,,,,512,0,25.0,360
SKU0067,2024-01-02,178.0,884415.07,4968.62,4,0,Bedding,Pillows,2464.96,1,1,1,0,,,,,,,,,619,0,26.0,532
SKU0115,2024-01-09,285.0,2244422.7600000002,8132.860000000001,2,0,Decor,Rugs,3690.08,2,1,1,0,,,,,,,,,252,349,14.0,383
SKU0055,2024-01-09,252.0,401542.03,1627.6742857142856,2,0,Decor,Rugs,1115.69,2,1,1,0,312.0,,,,,,,,122,619,25.0,517
SKU0111,2024-01-09,181.0,981232.69,5546.535714285715,2,0,Bedding,Comforters,3814.54,2,1,1,0,172.0,,,,,,,,320,210,25.0,360
SKU0067,2024-01-09,207.0,1183774.67,5855.877142857143,2,0,Bedding,Pillows,2464.96,2,1,1,0,178.0,,,,,,,,368,315,26.0,532
SKU0055,2024-01-16,224.0,386695.68,1726.32,0,0,Decor,Rugs,1115.69,3,1,0,0,252.0,312.0,,,,,,,0,619,25.0,517
SKU0115,2024-01-16,272.0,2346206.72,8625.76,0,0,Decor,Rugs,3690.08,3,1,0,0,285.0,,,,,,,,0,705,14.0,383
SKU0111,2024-01-16,117.0,688274.73,5882.69,0,0,Bedding,Comforters,3814.54,3,1,0,0,181.0,172.0,,,,,,,139,210,25.0,360
SKU0067,2024-01-16,129.0,801190.62,6210.78,0,0,Bedding,Pillows,2464.96,3,1,0,0,207.0,178.0,,,,,,,161,623,26.0,532
SKU0055,2024-01-23,210.0,362527.19999999995,1726.32,0,1,Decor,Rugs,1115.69,4,1,0,1,224.0,252.0,,,,,,,0,619,25.0,517
SKU0115,2024-01-23,261.0,2251323.36,8625.76,0,1,Decor,Rugs,3690.08,4,1,0,1,272.0,285.0,,,,,,,153,356,14.0,383
SKU0113,2024-01-23,127.0,60956.19,479.96999999999997,0,1,Small Appliances,Heaters,2001.84,4,1,0,1,,,,,,,,,58,547,28.0,448
SKU0067,2024-01-23,149.0,925406.22,6210.78,0,1,Bedding,Pillows,2464.96,4,1,0,1,129.0,207.0,,,,,,,32,623,26.0,532
SKU0111,2024-01-23,142.0,835341.98,5882.69,0,1,Bedding,Comforters,3814.54,4,1,0,1,117.0,181.0,,,,,,,22,452,25.0,360
SKU0055,2024-01-30,192.0,331453.44,1726.32,0,0,Decor,Rugs,1115.69,5,1,0,0,210.0,224.0,312.0,,249.5,,45.17742799230541,249.5,170,308,25.0,517
SKU0111,2024-01-30,146.0,858872.74,5882.69,0,0,Bedding,Comforters,3814.54,5,1,0,0,142.0,117.0,172.0,,153.0,,29.223278392403095,153.0,0,452,25.0,360
SKU0113,2024-01-30,118.0,56636.46,479.96999999999997,0,0,Small Appliances,Heaters,2001.84,5,1,0,0,127.0,,,,,,,,0,547,28.0,448
